year,population_growth_rate,firespots,Consumption_of_ozone_layer,forest_area,sea_ice_extent_north,sea_ice_extent_south,CO2_emissions(MtCO2),global_avg_temperature,amphibians_endangered,fishes_end,birds_end,mammals_end,plants_end,insects_end,reptiles_end,mollusc_end,amphibians_critically_end,fishes_cri_end,birds_cri_end,mammals_cri_end,plants_cri_end,insects_crit_end,reptiles_cri_end,mollusc_cri_end
1970,2.134818796,,,,,,14840,14.04,,,,,,,,,,,,,,,,
1971,2.134818796,,,,,,15439,13.93,,,,,,,,,,,,,,,,
1972,2.134818796,,,,,,16157,14.02,,,,,,,,,,,,,,,,
1973,2.134818796,,,,,,17015,14.15,,,,,,,,,,,,,,,,
1974,2.134818796,,,,,,16942,13.93,,,,,,,,,,,,,,,,
1975,2.134818796,,,,,,16920,13.99,,,,,,,,,,,,,,,,
1976,1.963820314,,,,,,17818,13.88,,,,,,,,,,,,,,,,
1977,1.963820314,,,,,,18307,14.14,,,,,,,,,,,,,,,,
1978,1.963820314,,,,,,18978,14.05,,,,,,,,,,,,,,,,
1979,1.963820314,,,,12.53083336,12.1091667,19484,14.11,,,,,,,,,,,,,,,,
1980,1.963820314,,,,12.51083342,11.64416647,19391,14.22,,,,,,,,,,,,,,,,
1981,1.934458889,,,,12.31416667,11.83749992,18864,14.28,,,,,,,,,,,,,,,,
1982,1.934458889,,,,12.67749989,11.97499992,18724,14.09,,,,,,,,,,,,,,,,
1983,1.934458889,,,,12.49416669,11.75083353,18902,14.27,,,,,,,,,,,,,,,,
1984,1.934458889,,,,12.08999995,11.87416663,19452,14.11,,,,,,,,,,,,,,,,
1985,1.934458889,,,,12.21166674,11.95916677,20145,14.08,,,,,,,,,,,,,,,,
1986,1.923010856,,,,12.40916677,11.47083326,20431,14.14,,,,,,,,,,,,,,,,
1987,1.923010856,,,,12.27181816,11.86727262,21094,14.28,,,,,,,,,,,,,,,,
1988,1.923010856,,,,12.0972727,12.58545459,21901,14.35,,,,,,,,,,,,,,,,
1989,1.923010856,,1316294.6,,12.15166668,11.76833334,22231,14.24,,,,,,,,,,,,,,,,
1990,1.923010856,,738815.6,4150690.24,11.89416663,11.77916676,22718,14.39,,,,,,,,,,,,,,,,
1991,1.670244868,,673441.2,4142656.001,11.91833333,11.91083326,23191,14.38,,,,,,,,,,,,,,,,
1992,1.670244868,,687962.2,4129923.15,12.23250004,11.81249998,22466,14.19,,,,,,,,,,,,,,,,
1993,1.670244868,,626345.1,4142592.06,12.11166652,11.77166661,22716,14.2,,,,,,,,,,,,,,,,
1994,1.670244868,,433194.8,4134264.76,12.18499994,12.12666659,22878,14.28,,,,,,,,,,,,,,,,
1995,1.670244868,,387046.8,4125937.59,11.60749988,12.14750006,23372,14.42,,,,,,,,,,,,,,,,
1996,1.406619171,,267992.5,4117609.85,11.955,12.18166671,24100,14.32,31,134,235,315,1197,116,59,212,18,157,168,169,909,44,41,257
1997,1.406619171,,248869.7,4109283.5,11.83666678,11.79416664,24237,14.45,,,,,,,,,,,,,,,,
1998,1.406619171,,318250.4,4100956.06,11.95000005,12.08999993,24150,14.61,,,,,,,,,,,,,,,,
1999,1.406619171,739.505,268225.8,4092629.73,11.88500003,12.12583343,24457,14.39,,,,,,,,,,,,,,,,
